"artist","genre","year"
"The Beatles","Rock",1960
"Bob Dylan","Other",1959
"Elvis Presley","Rock",1953
"The Rolling Stones","Rock",1962
"Chuck Berry","Rock",1953
"Jimi Hendrix","Rock",1962
"James Brown","Soul",1954
"Little Richard","Rock",1947
"Aretha Franklin","Soul",1954
"Ray Charles","Blues",1947
"Bob Marley","Other",1962
"The Beach Boys","Rock",1961
"Buddy Holly","Rock",1952
"Led Zeppelin","Heavy metal",1968
"Stevie Wonder","Soul",1961
"Sam Cooke","Soul",1951
"Muddy Waters","Blues",1941
"Marvin Gaye","Blues",1957
"The Velvet Underground","Rock",1964
"Bo Diddley","Rock",1943
"Otis Redding","Soul",1958
"U2","Rock",1976
"Bruce Springsteen","Rock",1964
"Jerry Lee Lewis","Rock",1949
"Fats Domino","Rock",1942
"The Ramones","Rock",1974
"Prince","Other",1975
"The Clash","Rock",1976
"The Who","Rock",1962
"Nirvana","Other",1987
"Johnny Cash","Other",1954
"Smokey Robinson and the Miracles","Blues",1955
"The Everly Brothers","Rock",1951
"Neil Young","Rock",1963
"Michael Jackson","Other",1964
"Madonna","Other",1979
"Roy Orbison","Rock",1953
"John Lennon","Rock",1956
"David Bowie","Rock",1962
"Simon and Garfunkel","Rock",1956
"The Doors","Rock",1965
"Van Morrison","Soul",1958
"Sly and the Family Stone","Soul",1966
"Public Enemy","Hip hop",1985
"The Byrds","Rock",1964
"Janis Joplin","Rock",1962
"Patti Smith","Rock",1967
"Run-DMC","Hip hop",1983
"Elton John","Rock",1962
"The Band","Rock",1967
"Pink Floyd","Rock",1965
"Queen","Rock",1970
"The Allman Brothers Band","Rock",1969
"Howlin’ Wolf","Blues",1930
"Eric Clapton","Rock",1962
"Dr. Dre","Hip hop",1985
"Grateful Dead","Rock",1965
"Parliament and Funkadelic","Other",1968
"Aerosmith","Heavy metal",1970
"The Sex Pistols","Rock",1975
"Metallica","Heavy metal",1981
"Joni Mitchell","Other",1964
"Tina Turner","Rock",1956
"Phil Spector","Other",1958
"The Kinks","Rock",1963
"Al Green","Soul",1967
"Cream","Rock",1966
"The Temptations","Blues",1960
"Jackie Wilson","Blues",1953
"The Police","Other",1977
"Frank Zappa","Rock",1955
"AC/DC","Heavy metal",1973
"Radiohead","Rock",1985
"Hank Williams","Other",1937
"Eagles","Rock",1971
"The Shirelles","Blues",1957
"Beastie Boys","Hip hop",1981
"The Stooges","Other",1967
"The Four Tops","Soul",1953
"Elvis Costello","Other",1970
"The Drifters","Blues",1953
"Creedence Clearwater Revival","Rock",1968
"Eminem","Hip hop",1988
"James Taylor","Rock",1966
"Black Sabbath","Heavy metal",1968
"Tupac Shakur","Hip hop",1989
"Gram Parsons","Other",1963
"Jay-Z","Hip hop",1986
"The Yardbirds","Blues",1963
"Carlos Santana","Rock",1965
"Tom Petty","Rock",1967
"Guns n’ Roses","Heavy metal",1985
"Booker T. and the MGs","Blues",1962
"Nine Inch Nails","Rock",1988
"Lynyrd Skynyrd","Rock",1964
"Diana Ross and the Supremes","Blues",1959
"R.E.M.","Rock",1980
"Curtis Mayfield","Soul",1956
"Carl Perkins","Rock",1946
"Talking Heads","Other",1975
