"artist_id","followers","popularity"
"3WrFJ7ztbogyGnTHbHJFl2",26714608,83
"74ASZWbe4lXaubB36ztrGX",6320020,70
"43ZHCT0cAZBISjO8DG9PnE",8989343,81
"22bE4uQ6baNwSHPVcDxLCe",13573967,78
"293zczrfYafIItmnmM3coR",1912495,72
"776Uo845nYHJpNaStv1Ds4",6481572,68
"7GaxyUddsPok8BuhxN6OUW",2098836,62
"4xls23Ye9WR9yy3yYMpAMm",903892,55
"7nwUJBm0HE4ZxD3f5cy5ok",3261388,69
"1eYhYunlNJlDoQhtYBvPsi",2155738,67
"2QsynagSdAqZj3U9HgDzjD",11841718,76
"3oDbviiivRWhXwIE8hxkVV",4349064,74
"3wYyutjgII8LJVVOLrGI0D",1271288,55
"36QJpDe2go2KgaRleHCDTp",13943960,74
"7guDJrEfX3qb6FEbdPA5qi",6321928,78
"6hnWRPzGGKiapVX1UCdEAC",1560200,66
"4y6J8jwRAwO4dssiSmN91R",1260433,53
"3koiLjNrgRTNbOwViDipeA",5210663,72
"1nJvji2KIlWSseXRSlNYsC",1834172,61
"2bmixwMZXlkl2sbIbOfviq",308490,44
"60df5JBRRPcnSpsIMxxwQm",2172958,70
"51Blml2LZPmy7TTiAg47vQ",11777364,76
"3eqjTLE0HfPfh78zjh6TqT",6004147,76
"2zyz0VJqrDXeFDIyrfVXSo",866207,55
"09C0xjtosNAIXP36wTnWxd",525770,52
"1co4F2pPNH8JjTutZkmgSm",2539070,65
"5a2EaR3hamoenG9rDuVn8j",7110414,69
"3RGLhK1IP9jnYFH4BRFJBS",2634604,67
"67ea9eGLXYMsO2eYQRui3w",5243043,66
"6olE6TJLqED3rqDCT0FyPh",18632488,79
"6kACVPfCOnqzgfEF5ryl0x",6091643,72
"6TKOZZDd5uV5KnyC5G4MUt",1177145,56
"4ACplpEqD6JIVgKrafauzs",901354,57
"3fMbdgg4jU18AjLCKBhRSm",29578442,80
"6tbjWDEIzxoDsBA1FuhfPW",7405490,78
"0JDkhL4rjiPNEp92jAgJnS",1921440,66
"4x1nvY2FN8jxqAFA0DA02H",5788419,75
"0oSGxfWSnnOXhD2fKuz2Gy",10050107,76
"70cRZdQywnSFp9pnc2WTCE",4950190,70
"22WZ7M8sxp5THdruNY3gXt",7583177,71
"44NX2ffIYHr6D4n7RaZF7A",3038231,70
"5m8H6zSadhu1j9Yi04VLqD",999574,56
"6Mo9PoU6svvhgEum7wh2Nd",1047376,54
"1PCZpxHJz7WAMF8EEq8bfc",966912,54
"4NgfOZCL9Ml67xzM0xzIvC",3235441,61
"0vYkHhJ48Bs3jWcvZXvOrP",1066854,55
"3CQIn7N5CuRDP8wEI7FiDA",1308387,64
"3PhoLpVuITZKcymswpck5b",12661108,83
"4vpDg7Y7fU982Ds30zawDA",1070835,58
"0k17h0D3J5VfsdmQ1iZtE9",19880602,77
"1dfeR4HaWDbWqFHLkxsg1d",48972187,83
"4wQ3PyMz3WwJGI5uEqHUVR",1559579,60
"0Wxy5Qka8BN9crcFkiAxSR",499764,49
"6PAt558ZEZl0DmdXlnjMgD",5634967,69
"6DPYiyq5kWVQS4RGwxzPC7",10951806,78
"4TMHGUX5WI7OOm53PqSDAT",1765300,63
"7Ey4PD4MYsKc5I2dolUwbH",13962875,74
"1u7kkVrr14iBvrpYnZILJR",1732731,53
"2ye2Wgw4gimLv2eAKyk1NB",26430789,80
"5hW4L92KnC6dX9t7tYM4Ve",1361907,54
"1zuJe6b1roixEKMOtyrEak",3847669,68
"3jVMgT4X7YeuYE4aludcmE",27778,33
"1SQRv42e4PjEYfPhS0Tk9E",2505630,64
"3dkbV4qihUeMsqN4vBGg93",1890534,64
"74oJ4qxwOZvX6oSsu1DGnw",2275316,61
"3RwQ26hR2tJtA8F9p2n7jG",2848847,66
"4VnomLtKTm9Ahe1tZfmZju",438662,55
"5NGO30tJxFlKixkPSgXcFE",5796169,75
"6ra4GIOgCZQZMOaUECftGN",901409,55
"711MCceyCBcFnzjGY4Q7Un",27728237,79
"4Z8W4fKeB5YxbusRsdQVPb",9147287,80
"2dyeCWctcFRt3Pha76ONgb",1572939,63
"0ECwFtbIWEVNwjlrfc6xoL",10204704,76
"0x83OBqixqdCHnStP5VMcn",297600,50
"03r4iKL2g2442PT9n2UKsx",2680665,67
"4BFMTELQyWJU1SwqcXMBm3",600109,49
"7fIvjotigTGWqjIz6EP1i4",1091797,61
"2BGRfQgtzikz1pzAD0kaEn",546950,53
"1FqqOl9itIUpXr4jZPIVoT",505928,63
"3IYUhFvPQItj6xySrBmZkd",6253349,78
"7dGJo4pcD2V6oG8kP0tJRR",79919470,90
"0vn7UBvSQECKJm2817Yf1P",2504210,65
"5M52tdBnJaKSvOpJGz8mfZ",7438652,71
"1ZwdS5xdxEREPySFridCfh",16880910,78
"1KA3WXYMPLxomNuoE22LYd",136495,38
"3nFkdlSjzX9mRTtwJOzDYB",8780960,82
"2lxX1ivRYp26soIavdG9bX",939327,45
"6GI52t8N5F02MxU0g5U69P",3216662,69
"2UZMlIwnkgAEDBsw1Rejkn",2416751,69
"3qm84nBOXUEQ2vnTfUTTFC",30288528,78
"2vDV0T8sxx2ENnKXds75e5",285897,55
"0X380XXQSNBYuleKzav5UO",2458218,64
"4MVyzYMgTwdP7Z49wAZHx0",4944825,70
"0rXI0q8Cahq6numvPlloaq",78979,44
"4KWTAlx2RvbpseOGMEmROg",4304758,72
"2AV6XDIs32ofIJhkkDevjm",1070905,57
"5hIClg6noTaCzMu2s5wp4f",172674,43
"2x9SpqnPi8rlE9pjHBwmSC",2312379,66
"6XswoC68grx55in1WQnJ7E",25949,41
